sku,status,needs_reshoot,w,h,circularity,inpaint_px,source,master_path,compare_path,notes
otc015,SOFT_NEEDS_RESHOOT,yes,276,290,,3988,/workspace/ducor-pharmacy/assets/products/_originals/otc015.jpg,/workspace/ducor-launch/product-image-standard/masters/otc015@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/otc015-compare.jpg,source=_originals/otc015.jpg;same_pack;rect_bite_inpaint;soft_276x290;needs_reshoot;NOT_meter_swap
rx001,SOFT_NEEDS_RESHOOT,yes,276,296,,452,/workspace/ducor-pharmacy/assets/products/_originals/rx001.jpg,/workspace/ducor-launch/product-image-standard/masters/rx001@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx001-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/_originals/rx001.jpg;soft_source_276x296;upscale_cap_1.25;needs_reshoot;same_pack_crop_100x241;model=luminance_matte_white_bottle;white_on_white_no_rembg;needs_reshoot_soft_composite;composite_family
rx005,SOFT_NEEDS_RESHOOT,yes,276,296,,689,/workspace/ducor-pharmacy/assets/products/_originals/rx005.jpg,/workspace/ducor-launch/product-image-standard/masters/rx005@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx005-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/_originals/rx005.jpg;whiteish;white_pack_bbox;inpaint=689
rx011,SOFT_NEEDS_RESHOOT,yes,276,296,,2263,/workspace/ducor-pharmacy/assets/products/_originals/rx011.jpg,/workspace/ducor-launch/product-image-standard/masters/rx011@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx011-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/_originals/rx011.jpg;colorful;isnet;inpaint=2263
rx014,FAIL_DARK,yes,276,296,,1016,/workspace/ducor-pharmacy/assets/products/_originals/rx014.jpg,/workspace/ducor-launch/product-image-standard/masters/rx014@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx014-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/_originals/rx014.jpg;whiteish;white_pack_bbox;inpaint=1016;dark_junk;fallback_bbox_only
rx067,SOFT_NEEDS_RESHOOT,yes,230,244,,888,/workspace/ducor-pharmacy/assets/products/_originals/rx067.jpg,/workspace/ducor-launch/product-image-standard/masters/rx067@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx067-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/_originals/rx067.jpg;whiteish;white_pack_bbox;inpaint=888;composite_family
rx090,FAIL_DARK,yes,600,600,0.794,13009,/workspace/ducor-pharmacy/assets/products/_originals/rx090.jpg,/workspace/ducor-launch/product-image-standard/masters/rx090@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx090-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/_originals/rx090.jpg;same_pack_crop_232x311;model=luminance_matte;final_circ=0.79;inpaint_px=13009;composite_family;needs_reshoot_composite;REDO_from_original_deleted_prior_after
vit032,SOFT_NEEDS_RESHOOT,yes,600,600,0.744,6576,/workspace/ducor-pharmacy/assets/products/vit032.png,/workspace/ducor-launch/product-image-standard/masters/vit032@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/vit032-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/vit032.png;model=isnet-general-use+despill;final_circ=0.74;inpaint_px=6576;dark_frac=0.0017
rx004,SOFT_NEEDS_RESHOOT,yes,276,296,,2490,/workspace/ducor-pharmacy/assets/products/_originals/rx004.jpg,/workspace/ducor-launch/product-image-standard/masters/rx004@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx004-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/_originals/rx004.jpg;colorful;isnet;inpaint=2490
rx008,SOFT_NEEDS_RESHOOT,yes,276,296,,855,/workspace/ducor-pharmacy/assets/products/_originals/rx008.jpg,/workspace/ducor-launch/product-image-standard/masters/rx008@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx008-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/_originals/rx008.jpg;whiteish;white_pack_bbox;inpaint=855
rx010,SOFT_NEEDS_RESHOOT,yes,276,296,,1279,/workspace/ducor-pharmacy/assets/products/_originals/rx010.jpg,/workspace/ducor-launch/product-image-standard/masters/rx010@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx010-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/_originals/rx010.jpg;whiteish;white_pack_bbox;inpaint=1279
rx017,SOFT_NEEDS_RESHOOT,yes,276,296,,1499,/workspace/ducor-pharmacy/assets/products/_originals/rx017.jpg,/workspace/ducor-launch/product-image-standard/masters/rx017@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx017-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/_originals/rx017.jpg;whiteish;white_pack_bbox;inpaint=1499
rx020,SOFT_NEEDS_RESHOOT,yes,276,296,,827,/workspace/ducor-pharmacy/assets/products/_originals/rx020.jpg,/workspace/ducor-launch/product-image-standard/masters/rx020@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx020-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/_originals/rx020.jpg;whiteish;white_pack_bbox;inpaint=827
rx023,SOFT_NEEDS_RESHOOT,yes,276,296,,1352,/workspace/ducor-pharmacy/assets/products/_originals/rx023.jpg,/workspace/ducor-launch/product-image-standard/masters/rx023@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx023-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/_originals/rx023.jpg;whiteish;white_pack_bbox;inpaint=1352
rx024,SOFT_NEEDS_RESHOOT,yes,276,296,,1249,/workspace/ducor-pharmacy/assets/products/_originals/rx024.jpg,/workspace/ducor-launch/product-image-standard/masters/rx024@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx024-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/_originals/rx024.jpg;whiteish;white_pack_bbox;inpaint=1249
rx108,SOFT_NEEDS_RESHOOT,yes,298,400,,2008,/workspace/ducor-pharmacy/assets/products/_originals/rx108.jpg,/workspace/ducor-launch/product-image-standard/masters/rx108@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx108-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/_originals/rx108.jpg;whiteish;white_pack_bbox;inpaint=2008;composite_family
rx109,SOFT_NEEDS_RESHOOT,yes,298,400,,2126,/workspace/ducor-pharmacy/assets/products/_originals/rx109.jpg,/workspace/ducor-launch/product-image-standard/masters/rx109@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx109-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/_originals/rx109.jpg;whiteish;white_pack_bbox;inpaint=2126;composite_family
rx144,SOFT_NEEDS_RESHOOT,yes,360,280,,6986,/workspace/ducor-pharmacy/assets/products/_originals/rx144.jpg,/workspace/ducor-launch/product-image-standard/masters/rx144@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/rx144-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/_originals/rx144.jpg;colorful;isnet;inpaint=6986;dark_junk;fallback_bbox_only;composite_family
otc001,OK,no,600,600,,1031,/workspace/ducor-pharmacy/assets/products/_originals/otc001.jpg,/workspace/ducor-launch/product-image-standard/masters/otc001@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/otc001-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/_originals/otc001.jpg;colorful;isnet;inpaint=1031
otc011,FAIL_DARK,yes,600,600,,6069,/workspace/ducor-pharmacy/assets/products/_originals/otc011.jpg,/workspace/ducor-launch/product-image-standard/masters/otc011@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/otc011-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/_originals/otc011.jpg;same_pack_crop_262x516;colorful;isnet;inpaint=6069;dark_junk;fallback_bbox_only
otc005,SOFT_NEEDS_RESHOOT,yes,276,296,,4261,/workspace/ducor-pharmacy/assets/products/otc005.jpg,/workspace/ducor-launch/product-image-standard/masters/otc005@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/otc005-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/otc005.jpg;colorful;isnet;inpaint=4261
otc018,SOFT_NEEDS_RESHOOT,yes,276,295,,1264,/workspace/ducor-pharmacy/assets/products/otc018.jpg,/workspace/ducor-launch/product-image-standard/masters/otc018@1200.jpg,/workspace/ducor-launch/product-image-standard/samples-wave1/otc018-compare.jpg,source=/workspace/ducor-pharmacy/assets/products/otc018.jpg;whiteish;bbox;inpaint=1264
